Gene_acc,Gene_id,146P1,146P2,146P3,146M1,146M2,146M3,Desc
23,Tb08.27P2.110:mRNA-p1;Tb927.8.480:mRNA-p1,177172.5938,149629.1875,318225.5625,73876.79688,177470.5625,93836.3125,"phosphatidic acid phosphatase protein, putative"
24,Tb08.27P2.400:pseudogenic_transcript-p1,500807.0313,291073.375,490541.0938,718272.625,487078.125,176076.6875,"expression site-associated gene 3 (ESAG3), degenerate"
28,Tb09.v4.0014:mRNA-p1;Tb09.v4.0110:mRNA-p1;Tb927.9.15850:mRNA-p1,372754.6563,323856.3438,356284.75,417737.7188,209401.4219,375723.25,hypothetical protein
29,Tb09.v4.0015:mRNA-p1,155025.875,140782.0625,206743.875,143679.9375,157570.8125,130721.5,hypothetical protein
30,Tb09.v4.0016:mRNA-p1;Tb11.v5.0463.1-p1,446284.9063,440843.375,356063.0938,251428.4375,256996.2813,251765.9375,"expression site-associated gene (ESAG) protein, putative"
39,Tb10.v4.0033:mRNA-p1;Tb927.10.4430:mRNA-p1,453569.7188,653908.125,844643.6875,517844.9375,626614.25,504025.6563,pumillo RNA binding protein PUF1
40,Tb10.v4.0034:mRNA-p1;Tb927.10.4440:mRNA-p1,187601.8281,547212,300715.3438,232787.3438,194883.1875,172264.5,predicted SAP domain protein
41,Tb10.v4.0035:mRNA-p1;Tb927.10.4450:mRNA-p1,2398579,2471886.25,3044499.75,2555431.75,2722735,1968203.5,"stress-inducible protein STI1-like, putative"
42,Tb10.v4.0036:mRNA-p1;Tb927.10.4460:mRNA-p1,486360.8125,474024.3438,578669.5625,510692.1563,466319.3125,553761.75,"leucine carboxyl methyltransferase, putative"
44,Tb10.v4.0039:mRNA-p1;Tb927.10.4490:mRNA-p1,456330.9063,355565.125,309071.6563,450273.5313,508503.1875,460552.6563,"hypothetical protein, conserved"
45,Tb10.v4.0040:mRNA-p1;Tb927.10.4500:mRNA-p1,299772.7188,308853.9688,339076.3125,488376.6875,597931.5,511836.7813,cap guanine-N7 methyltransferase
46,Tb10.v4.0041:mRNA-p1,777508.9375,663138.6875,565731.875,632038.0625,632324.375,595458.9375,"PUB domain containing protein, putative"
47,Tb10.v4.0043:mRNA-p1;Tb11.v5.1012.1-p1;Tb927.10.4330:mRNA-p1,124138.3438,91987.8125,129914.4531,92955.01563,46653.48438,91721.6875,"2-oxoisovalerate dehydrogenase beta subunit, mitochondrial precursor, putative"
48,Tb10.v4.0044:mRNA-p1;Tb927.10.4320:mRNA-p1,51009.58984,29300.18945,65551.19531,102084.0469,118800.0938,91400.15625,"hypothetical protein, conserved"
49,Tb10.v4.0045:mRNA-p1;Tb927.10.4310:mRNA-p1,1745845.875,1446417.875,1601394.375,1694826.5,1919022.25,1463710.375,"prohibitin 2, putative"
50,Tb10.v4.0066:pseudogenic_transcript-p1,211372.125,149026.9375,154110.7656,139097.5,123249.0391,119528.8594,"expression site-associated gene 3 (ESAG3, pseudogene), putative"
56,Tb10.v4.0246:mRNA-p1;Tb927.10.6900:mRNA-p1,1108236.25,201580.7188,626184.4375,360855.4375,311728.125,341929.4688,base J-associated glucosyltransferase
57,Tb10.v4.0247:mRNA-p1;Tb11.v5.0496.1-p1;Tb927.10.6910:mRNA-p1;Tb927.10.6950:mRNA-p1,171603.8125,154917.375,135799.0625,162023.0625,135799.3125,108020.4844,"sterol 24-c-methyltransferase, putative"
58,Tb11.01.2730.1-p1,372200.875,447713.0938,465006.0938,297847.9688,358827.5938,270237.6875,"hypothetical protein, conserved"
60,Tb11.02.5080b.1-p1;Tb927.11.7213:mRNA-p1,1244670,1365423,1487915.375,948311.625,972886.5,937334,"Endoplasmic Reticulum-Golgi Intermediate Compartment (ERGIC)/Endoplasmic reticulum vesicle transporter, putative"
61,Tb11.02.5090.1-p1;Tb11.02.5090b.1-p1,286271.3438,318420.625,299116.3125,237346.2969,295948.4688,224222.3594,"proliferator-activated receptor-interacting protein (PRIP) interacting protein (PIMT), putative, pseudogene"
64,Tb11.02.5380.1-p1;Tb11.02.5380b.1-p1,449082.8125,449728.6875,512678.5938,496572.9688,515244.7188,495498.4375,"exosome complex exonuclease RRP44p homologue, putative"
65,Tb11.02.5390:mRNA-p1;Tb11.02.5390b.1-p1,115784.8828,132623.7813,101574.25,96842.77344,80538.46875,98471.44531,"mRNA processing protein, putative"
66,Tb11.02.5410:mRNA-p1;Tb11.02.5410b:mRNA-p1,639801.5,583084.5,590943.0625,606032.25,586989.5,592556.75,"ubiquitin activating enzyme, putative"
67,Tb11.02.5420:mRNA-p1;Tb11.02.5420b.1-p1,7468452.5,7679102.5,7943556.5,3866755.5,3484019.25,3682298.5,"NADPH-cytochrome p450 reductase, putative"
68,Tb11.02.5430:mRNA-p1;Tb11.02.5430b.1-p1,71852.6875,128322.8594,170161.875,170365.5938,206502.2344,105014.0078,"hypothetical protein, conserved"
69,Tb11.0290:mRNA-p1;Tb11.0390:mRNA-p1;Tb927.11.7705:mRNA-p1;Tb927.6.4980:mRNA-p1,5673040,6219589,6197052.5,11619038,19238042,15643833,40S ribosomal protein S14
70,Tb11.0320:mRNA-p1;Tb927.11.7690.1-p1,68823.53125,51511.58984,77393.77344,45253.33594,39267.57813,41143.16797,hypothetical protein
71,Tb11.0330:mRNA-p1;Tb927.11.7670.1-p1,1701092.25,1500404.125,1448382.375,2102882.5,2466379.5,446930.4063,"Cornifin (SPRR) family, putative"
72,Tb11.0350:mRNA-p1;Tb927.11.7650.1-p1,1147884.125,1108000.125,1064833.875,975871.9375,880435.9375,1157156.625,hypothetical protein
74,Tb11.0520:mRNA-p1;Tb927.10.1130:mRNA-p1,659313.125,692933.25,963250.6875,913873.625,1062937,475186.5625,"dynein arm light chain, axonemal, putative"
75,Tb11.0530:mRNA-p1;Tb927.10.1140:mRNA-p1,47246592,46089944,36237644,65504532,56424380,65362240,epsilon tubulin
76,Tb11.0540:mRNA-p1;Tb927.10.1150:mRNA-p1,714034.0625,424634.8438,1685515.75,64068.1875,370407.4688,168063.9688,"hypothetical protein, conserved"
77,Tb11.0840:mRNA-p1,21652.72461,20543.67188,30111.77734,31693.36914,44541.28906,39948.67969,hypothetical protein
78,Tb11.0845:mRNA-p1;Tb927.11.18680:mRNA-p1;Tb927.11.715:mRNA-p1,9701050,8087019,5653654,15056394,9090819,12831737,"dynein light chain LC8, putative"
80,Tb11.1220:mRNA-p1;Tb11.v5.0996.1-p1,2687700,2970444,2777051,3053196.75,4604587.5,3537333.5,"hypothetical protein, conserved"
81,Tb11.1240:mRNA-p1;Tb11.v5.0998.1-p1;Tb927.10.15270:mRNA-p1,1514505.625,1458186.25,1669854.375,1564891.625,1463397.625,1566017.375,"metallo- peptidase, Clan MG, Family M24"
82,Tb11.1370.1-p1;Tb11.1420:mRNA-p1;Tb927.11.1850:mRNA-p1,112991.9844,46426.49219,43172.03125,33156.28125,37437.35547,35636.91797,"hypothetical protein, conserved"
83,Tb11.1380.1-p1;Tb927.11.1840:mRNA-p1,7021921.5,6852874,7438653.5,8180418,9748915,8612972,"hypothetical protein, conserved"
84,Tb11.1390.1-p1;Tb927.11.1830:mRNA-p1,253948.3281,279940.6563,307911.7813,90951.86719,84758.14063,42470.71094,"hypothetical protein, conserved"
86,Tb11.1780.1-p1,8446141,8848274,7455520.5,6625220,6109656.5,6764900,"retrotransposon hot spot protein 1 (RHS1, pseudogene), putative"
89,Tb11.v5.0147.1-p1;Tb927.7.4600:mRNA-p1,54240.61719,30861.21094,40438.92969,29987.86523,114329.625,56256.66797,"Calponin homology (CH) domain containing protein, putative"
90,Tb11.v5.0150.1-p1;Tb927.7.4650:mRNA-p1,90370.1875,106976.5703,95301.05469,96365.46875,130613.2578,106592.6406,J Biosynthesis Protein 2
91,Tb11.v5.0152.1-p1;Tb927.7.4670:mRNA-p1,286949.6563,336728.5625,314298.9688,286157.4688,297986.5313,348471.0313,ribosomal RNA processing protein 4
92,Tb11.v5.0153.1-p1;Tb927.7.4690:mRNA-p1,699229.6875,692048.4375,1369738,422137.4375,381000,418033.625,hypothetical protein
95,Tb11.v5.0157.1-p1;Tb927.7.4740:mRNA-p1,324490.875,320594,312964.2813,375832.0625,428114.0625,363246.8125,"hypothetical protein, conserved"
96,Tb11.v5.0158.1-p1;Tb927.7.4750:mRNA-p1,527440.125,499420.6875,569426.125,382235.25,307161.9063,405135.7813,"hypothetical protein, conserved"
97,Tb11.v5.0160.1-p1;Tb927.7.4770:mRNA-p1,27968372,26724384,27129436,16478253,18102880,17367190,"cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative"
98,Tb11.v5.0161.1-p1;Tb927.7.4780:mRNA-p1,114689.7031,80903.23438,85536.75,214560.25,139415.8594,224034.3281,"conserved hypothetical protein, putative"
99,Tb11.v5.0162.1-p1;Tb927.7.4790:mRNA-p1,3815350.25,3685392.5,3830408,5178151.5,6509494,5476609.5,proteasome beta 6 subunit
100,Tb11.v5.0163.1-p1;Tb927.7.4810:mRNA-p1,429915.1563,435786.125,392991.9063,348226.8125,349673.375,225247.6719,"HD domain containing protein, putative"
101,Tb11.v5.0164.1-p1;Tb927.7.4820:mRNA-p1,183411.0938,179050.1719,130982.8359,109959.6094,87968.07031,95829.34375,"Trm112p-like protein, putative"
102,Tb11.v5.0166.1-p1;Tb927.7.4840:mRNA-p1,418813.625,384805.6875,479723.75,537741.375,545188.8125,500677.4688,"hypothetical protein, conserved"
105,Tb11.v5.0169.1-p1;Tb927.7.4870:mRNA-p1,261035.8281,239308,243167.8438,421064.25,538893.5,427705.5625,"hypothetical protein, conserved"
106,Tb11.v5.0170.1-p1;Tb927.7.4890:mRNA-p1,112648.3281,109278.9688,119503.3359,120501.4219,103824.4844,95520.89063,Present in the outer mitochondrial membrane proteome 34
107,Tb11.v5.0171.1-p1;Tb927.7.4900:mRNA-p1,777685.625,955674.4375,1095417.25,1325961.5,1374719.625,1244285.25,5'-3' exoribonuclease A
108,Tb11.v5.0172.1-p1;Tb927.7.4910:mRNA-p1,1031094.188,949018.375,841439.25,1269277.25,1306671.125,1309684.625,"hypothetical protein, conserved"
110,Tb11.v5.0175.1-p1;Tb927.7.4940:mRNA-p1,492624.9688,559351.0625,474230.0313,389683.875,559905.1875,273977.5938,"serine peptidase, clan SC, family S9A-like protein"
111,Tb11.v5.0177.1-p1;Tb927.7.4960:mRNA-p1,304904.5313,364000.1563,401435.8438,303815.2813,353312.0313,302788.9375,"hypothetical protein, conserved"
113,Tb11.v5.0180.1-p1;Tb927.7.4990:mRNA-p1,599913.875,519518.2813,437659.3125,586028.125,401846.6875,576314.25,"hypothetical protein, conserved"
114,Tb11.v5.0181.1-p1;Tb11.v5.0182.1-p1;Tb927.7.5000:mRNA-p1;Tb927.7.5020:mRNA-p1,5951247.5,6145902,7210600.5,14398709,16710741,13089237,"60S ribosomal protein L19, putative"
115,Tb11.v5.0183.1-p1;Tb927.7.5030:mRNA-p1,640378.6875,632852.125,683789.625,609489.5,840104.5,6127990,"hypothetical protein, conserved"
116,Tb11.v5.0184.1-p1;Tb927.7.5040:mRNA-p1,39598.47266,167352.0313,40482.4375,32683.83594,59144.20703,39842.90625,"kinesin, putative"
117,Tb11.v5.0185.1-p1;Tb927.7.5050:mRNA-p1,2270620,2271866,2891874.5,2103485.75,1781880.125,1667015.5,"hypothetical protein, conserved"
118,Tb11.v5.0187.1-p1;Tb927.7.5070:mRNA-p1,2528625.5,1902871.25,1418030.625,1447330,2104393.5,3052791.25,hypothetical protein
119,Tb11.v5.0190.1-p1;Tb927.10.5950:mRNA-p1,264609.4063,242804.25,306027.375,115742.3828,159928.375,209034.6406,"Serine/threonine-protein kinase NEK17, putative"
120,Tb11.v5.0191.1-p1;Tb927.10.5960:mRNA-p1,1633445,1603345,1848441.5,1707561,1180696.875,844015.0625,"engulfment and cell motility domain 2, putative"
122,Tb11.v5.0193.1-p1;Tb927.10.5990:mRNA-p1,523352.1563,501477.25,537636.875,466579.6563,442492.75,492253.1875,"Centrosomal protein of 57 kDa, putative"
123,Tb11.v5.0194.1-p1;Tb927.10.6000:mRNA-p1,239021.1563,222709.4063,255091.8281,245881.5938,212824.75,202870.0781,"hypothetical protein, conserved"
124,Tb11.v5.0196.1-p1,3900203.75,3888841,4469124.5,5127241,6061495,5049637,"Proteasome subunit A N-terminal signature/Proteasome subunit, putative"
125,Tb11.v5.0199.1-p1;Tb927.10.6060:mRNA-p1,5286548.5,6056885,7379577.5,6817796,10590311,7938660.5,universal minicircle sequence binding protein 2
126,Tb11.v5.0200.1-p1;Tb927.10.6080:mRNA-p1,2522343.75,2489500.25,2951187,2665876.25,3081702.75,3050901.25,"proteasome subunit beta type-5, putative"
127,Tb11.v5.0201.1-p1;Tb927.10.6090:mRNA-p1,74622.39063,67756.875,42507.91406,49567.44141,26508.08984,50985.88281,"tRNA pseudouridine synthase A, putative"
128,Tb11.v5.0203.1-p1;Tb927.10.6110:mRNA-p1,117454.8906,96921.38281,178984.4375,80682.88281,114465.2188,55986.41406,"hypothetical protein, conserved"
130,Tb11.v5.0205.1-p1;Tb927.10.6130:mRNA-p1,75181.36719,57907.9375,61616.39063,62664.21875,54291,88547.05469,"hypothetical protein, conserved"
131,Tb11.v5.0213.1-p1;Tb927.5.291b:mRNA-p1,231325.1094,186922.25,282793.4375,228517.7813,291046.4375,226052,"variant surface glycoprotein (VSG)-related, putative"
132,Tb11.v5.0214.1-p1;Tb927.5.295b:mRNA-p1,5723129.5,6588798,5712977,5846058,6030641,6012544,retrotransposon hotspot (RHS) protein 1
133,Tb11.v5.0215.1-p1;Tb927.5.300:mRNA-p1;Tb927.5.300b:mRNA-p1,579548.25,598398.5,580395.1875,251377.125,159067.4531,252873.5625,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein, putative"
134,Tb11.v5.0216.1-p1;Tb927.5.309b:mRNA-p1,4143681.5,4177537.5,4469035.5,1100631.125,1117327.375,951975.25,"invariant surface glycoprotein, putative"
135,Tb11.v5.0218.1-p1;Tb927.5.500:mRNA-p1,580644.1875,585327.5625,539135.625,809682.125,938306.1875,786100.4375,"hypothetical protein, conserved"
136,Tb11.v5.0219.1-p1;Tb927.5.490:mRNA-p1,257591.6875,265078.375,365021.8125,377232.6875,483392.9688,392152.7813,"methyltransferase, putative"
137,Tb11.v5.0221.1-p1;Tb927.5.470:mRNA-p1,663023.375,718716.875,519244.1875,354031.3438,87861.26563,75601.9375,riboflavin transporter
138,Tb11.v5.0222.1-p1;Tb927.5.450:mRNA-p1,136155.1719,105924.5,124326.3984,114554.1016,Filtered,93165.20313,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial"
139,Tb11.v5.0224.1-p1;Tb927.5.430:mRNA-p1,386917.4688,180806.2656,199190.0625,189150.9844,50784.54297,212238.2031,"invariant surface glycoprotein, putative"
140,Tb11.v5.0226.1-p1;Tb927.5.410:mRNA-p1,950258.375,963241.75,1059246.625,185791.4375,190797.7188,173338.2813,"invariant surface glycoprotein, putative"
141,Tb11.v5.0228.1-p1;Tb927.5.390:mRNA-p1,15202898,15389316,15777958,3542893.5,4584097.5,3680687.75,"75 kDa invariant surface glycoprotein, putative"
142,Tb11.v5.0230.1-p1;Tb927.5.370:mRNA-p1,2780560.75,3050607.75,3446547.75,939787.1875,1316108,740532.75,"75 kDa invariant surface glycoprotein, putative"
143,Tb11.v5.0231.1-p1;Tb927.5.360:mRNA-p1,3164830.25,3665752,2074647.75,657423.125,563655.8125,688740.5,75 kDa invariant surface glycoprotein
144,Tb11.v5.0232.1-p1;Tb927.10.5250:mRNA-p1,1190221,1152578.625,1463530,763612.75,955120.4375,773945.5625,"zinc finger protein family member, putative"
145,Tb11.v5.0233.1-p1;Tb927.10.5240:mRNA-p1,42861952,50243872,49676812,14078298,19496810,15890929,"cAMP binding protein, putative"
146,Tb11.v5.0236.1-p1;Tb927.10.5210:mRNA-p1,102949.6875,70396.21875,44160.9375,85261.14844,194424.7813,87560.95313,TFIIH basal transcription factor subunit
147,Tb11.v5.0237.1-p1;Tb927.10.5200:mRNA-p1,216651.9063,244507.25,266708.75,309739.875,295738.25,279364.2813,"hypothetical protein, conserved"
148,Tb11.v5.0243.1-p1;Tb11.v5.1060.1-p1;Tb927.10.5330:mRNA-p1;Tb927.10.5340:mRNA-p1,9783373,10597715,11387079,19792570,25269276,21141670,"40S ribosomal protein S18, putative"
149,Tb11.v5.0245.1-p1;Tb927.10.5310:mRNA-p1,205257.4688,1179354.75,272151.125,203587.0625,249713.1094,202061.3594,"AMP-activated kinase, alpha 1"
150,Tb11.v5.0246.1-p1;Tb927.10.5300:mRNA-p1,406203.8125,406624.1563,692170.0625,576075.9375,746207.3125,610825.125,"eukaryotic translation initiation factor 6 (eIF-6), putative"
151,Tb11.v5.0248.1-p1;Tb927.10.5280:mRNA-p1,924960.25,882799.8125,576211.9375,330268.9375,321550.3125,381845.75,"pre-mRNA splicing factor ATP-dependent RNA helicase, putative"
152,Tb11.v5.0249.1-p1;Tb927.10.5270:mRNA-p1,233691.7813,195352.6406,229520.3594,196568.2656,230302.2188,156438.2813,mitogen-activated protein kinase kinase 5
153,Tb11.v5.0252.1-p1;Tb927.11.7310:mRNA-p1,95958.95313,146368.1094,134137.7344,335067.75,284547.875,304881.3438,"RNA binding protein, putative"
154,Tb11.v5.0253.1-p1;Tb927.11.7300:mRNA-p1,534869.5625,539049.6875,569618.375,393185.9375,443233.4063,402570.9063,"major facilitator superfamily, putative"
155,Tb11.v5.0254.1-p1;Tb927.11.7290:mRNA-p1,860840.1875,836055.75,842541.4375,536548.625,514993.5625,568322.0625,"pantothenate kinase subunit, putative"
156,Tb11.v5.0255.1-p1;Tb927.11.7280:mRNA-p1,486008.9375,502242.6563,322285.3125,375024.6563,257782.5,288466.5625,"DNA-direcetd RNA polymerase II, subunit 9, putative"
157,Tb11.v5.0256.1-p1;Tb927.11.7270:mRNA-p1,1355956.625,1471098.875,1303807.25,1294566.125,1163565.125,1111733.625,"proteasome beta 3 subunit, putative"
158,Tb11.v5.0258.1-p1;Tb927.11.7240:mRNA-p1,296178.9375,292141.875,228343.0938,329189.75,390957.6875,303222.0938,nexin-dynein regulatory complex 2
159,Tb11.v5.0261.1-p1;Tb927.7.4480:mRNA-p1,1649430.5,1303581.375,2118689,2166204.5,2096594.25,1751010.125,"adenosine 5'-monophosphoramidase, putative"
160,Tb11.v5.0262.1-p1;Tb927.7.4490:mRNA-p1,271436.9375,193928.1563,355157.125,884787.375,1371303.5,302875.4688,"hypothetical protein, conserved"
161,Tb11.v5.0263.1-p1;Tb927.7.4500:mRNA-p1,10224576,9371975,10121511,5952965.5,5965839.5,5579089.5,"PX domain containing protein, putative"
162,Tb11.v5.0264.1-p1;Tb927.7.4510:mRNA-p1,210957.0313,1193700.5,1274582.25,1307062.875,263282.4375,1369969,"Domain of unknown function (DUF4201), putative"
163,Tb11.v5.0265.1-p1;Tb927.7.4520:mRNA-p1,5993759,6488586.5,6252879,5764307.5,5577423.5,4602233.5,"Thioredoxin-like, putative"
164,Tb11.v5.0267.1-p1;Tb927.7.4540:mRNA-p1,360310.75,387520.3125,1454672.875,227016,372035.6875,153220.75,"hypothetical protein, conserved"
165,Tb11.v5.0268.1-p1;Tb927.7.4550:mRNA-p1,332237.25,391372.0625,424643.0938,276005.8438,301628,281598.5313,Mitochondrial ribosomal protein L7/L12
166,Tb11.v5.0269.1-p1;Tb927.7.4560:mRNA-p1,293033.0625,209634.6406,172503.8438,118643.5234,168984.3281,133729.625,Histone acetyltransferase 1
167,Tb11.v5.0270.1-p1;Tb927.7.4570:mRNA-p1,3897902.75,3618825.5,2789216.5,5542962,4790634,4816951,inosine-guanine nucleoside hydrolase
168,Tb11.v5.0271.1-p1;Tb927.10.6350:mRNA-p1,621441.25,646286.1875,392185.0313,982802.5,763207.625,816658.25,trypanin
169,Tb11.v5.0272.1-p1;Tb927.10.6340:mRNA-p1,119711.6953,73150.96875,59302.76953,101273.1016,129567.5234,91576,"hypothetical protein, conserved"
170,Tb11.v5.0273.1-p1;Tb927.10.6330:mRNA-p1,78611.82031,80833.4375,72910.875,125613.2031,140862.7813,132796.7188,kinetoplastid kinetochore protein 1
171,Tb11.v5.0274.1-p1;Tb927.10.6320:mRNA-p1,336165.4375,340798,371670.3438,511606.1875,482637.7813,509883.2813,"CBF/Mak21 family, putative"
172,Tb11.v5.0275.1-p1;Tb927.10.6310:mRNA-p1,2598540.75,2464295,2692789,4026033.25,1940332.5,2106087.5,"major vault protein, putative"
173,Tb11.v5.0276.1-p1;Tb927.10.6300:mRNA-p1,19614.95313,16033.86719,15190.5166,14570.58887,21473.09961,13630.10352,Mitochondrial ribosomal protein S5
174,Tb11.v5.0277.1-p1;Tb927.10.6290:mRNA-p1,342052.1875,395114,474547.1875,655674.5625,799649.9375,721176.875,"ATP-dependent DEAD/H RNA helicase, putative"
175,Tb11.v5.0282.1-p1;Tb927.5.340:mRNA-p1,180463.375,144435.625,652865.125,94023.89063,460070.0625,113840.8516,"expression site-associated gene 5 (ESAG5) protein, putative"
176,Tb11.v5.0289.1-p1;Tb927.11.12770:mRNA-p1,103442.4922,97607.03906,79442.28906,97151.45313,73197.27344,90677.08594,"ubiquitin ligase, putative"
177,Tb11.v5.0291.1-p1;Tb927.11.12750:mRNA-p1,605685.375,504077.0938,608793.375,467743.4688,589977.8125,513120.6875,cleavage and polyadenylation specificity factor 30 kDa subunit
180,Tb11.v5.0305.1-p1;Tb927.10.15950:mRNA-p1,282963.0938,263139.0938,439766.9375,294790.8125,917556.5625,193682.9688,TATA-box-binding protein
181,Tb11.v5.0306.1-p1;Tb927.10.15970:mRNA-p1,121108.5234,71014.57813,68474.24219,66981.34375,100646.8125,65632.82813,"Triglyceride lipase, putative"
182,Tb11.v5.0325.1-p1,543066.6875,612437,856059.25,986773.375,824538.6875,1154946.25,"retrotransposon hot spot (RHS) protein, putative"
183,Tb11.v5.0326.1-p1,1364578.25,1347643.375,2771422,976483.1875,1153887.25,1338171.5,"retrotransposon hot spot (RHS) protein, putative"
184,Tb11.v5.0330.1-p1;Tb927.10.8440:mRNA-p1,3369631,4013223.25,3180944.25,4476700,5971495.5,3147937.5,glucose transporter 1B
185,Tb11.v5.0331.1-p1;Tb927.10.8500:mRNA-p1;Tb927.10.8510:mRNA-p1;Tb927.10.8520:mRNA-p1,1589407,1351084.75,800422.9375,878060.3125,894796.25,1102457.625,"glucose transporter, putative"
186,Tb11.v5.0339.1-p1;Tb927.10.5080:mRNA-p1,367910.0313,312491.4063,170552.0781,163657,73013.67969,146504.5156,GPI transamidase component Tta2
187,Tb11.v5.0340.1-p1;Tb927.10.5070:mRNA-p1,237628.875,221961.875,241459.875,222118.125,229329.2656,279409.7188,"ribonuclease H, putative"
188,Tb11.v5.0342.1-p1;Tb927.10.5040:mRNA-p1,578502.375,554840.4375,620226.4375,403404.25,194681.2031,198094.7188,"chaperone protein DnaJ, putative"
189,Tb11.v5.0346.1-p1,4354940,2335346,2358516,689858.9375,698892.3125,896037.9375,"BarP protein, putative"
192,Tb11.v5.0356.1-p1;Tb927.1.1240:mRNA-p1,986005.0625,965867.0625,1102499.875,1032526.125,1253921,1065305.125,"cytidine triphosphate synthase, putative"
193,Tb11.v5.0357.1-p1;Tb927.1.1270:mRNA-p1,387251.5938,406939.1563,364981.125,124388.6641,171070.875,127351.1484,"homocysteine S-methyltransferase, putative"
194,Tb11.v5.0365.1-p1,745971.5,778171.875,798956.125,1152105,1295674.25,936001.6875,"hypothetical protein, conserved"
195,Tb11.v5.0366.1-p1,6138983.5,5759130,6176933.5,5413997.5,7433011.5,525105.6875,"hypothetical protein, conserved"
196,Tb11.v5.0372.1-p1;Tb927.1.1310:mRNA-p1,186683.7813,192811.3281,177573.0156,131347.2813,167206.9375,141121.1563,"transmembrane protein, conserved"
197,Tb11.v5.0384.1-p1;Tb927.1.1130:mRNA-p1,16453.82813,166134.4844,151233.5469,183287.6094,23851.71094,117293.8125,"glycerol-3-phosphate dehydrogenase (FAD-dependent), putative"
